"trust_name","avg_ltv","pct_underwater","avg_pti","pct_high_pti_10","pct_high_pti_15","pct_high_pti_20","avg_rate","avg_spread","avg_term","avg_fico","reg_pti_slope","reg_pti_intercept","reg_pti_r2","reg_pti_corr","reg_ltv_slope","reg_ltv_intercept","reg_ltv_r2","reg_ltv_corr","reg_rate_slope","reg_rate_intercept","reg_rate_r2","reg_rate_corr","pct_prime_high_pti","pct_prime_high_rate","year","series_str","series_num","trust_label"
"Carvana Auto Receivables Trust 2021-P1",21.2682704008317,0,0.0797776749294007,29.0869155946031,4.84781926576718,0,0.0838967513327062,4.66967513327062,70.9526497334588,705.030844669408,-0.00010193280996179,0.151496095356256,0.0311014919764955,-0.17635615094602,-0.0543434577767842,59.5944735759963,0.173420284393893,-0.416437611646562,-0.000363055264951478,0.339059725121489,0.538661274598414,-0.733935470323116,3.44935716525557,0.266541235497021,2021,"P1",1,"2021-P1"
"Carvana Auto Receivables Trust 2021-P2",25.5665496008712,0,0.0855126183467261,34.3384517463601,7.07295727583738,0.0477364945500835,0.081110698894808,4.3910698894808,71.3637592430627,705.233649365258,-0.000128408196516179,0.175870392056914,0.0477197097149645,-0.218448414310941,-0.0570402541516372,65.8101173391429,0.177098347414266,-0.420830544773387,-0.000355534440082584,0.330865249176087,0.552686099919886,-0.743428611179235,4.42871909040312,0.198775542657231,2021,"P2",2,"2021-P2"
"Carvana Auto Receivables Trust 2021-P3",30.2937157518572,0,0.0863641117356498,34.9060353148243,7.52853006302163,0.0454209958553341,0.075284815592374,3.8084815592374,71.4121084884249,704.735021724217,-0.000113194798889709,0.165966252831955,0.0347289209192167,-0.186356971748353,-0.0609689967376951,73.2892165333861,0.177959844292875,-0.421852870433371,-0.000334887778024496,0.310564911357077,0.518856495572512,-0.720316941056166,4.54493871992737,0.113481615978212,2021,"P3",3,"2021-P3"
"Carvana Auto Receivables Trust 2021-P4",34.4236665025988,0,0.0869245527217358,36.0541628147262,7.74375985643591,0.07069443689162,0.0817793737428649,4.45793737428649,71.3623810818157,702.688734475023,-0.000113785521582939,0.166725171959043,0.0358369873355943,-0.189306596122782,-0.0686058729912004,82.6397312365619,0.193613819065025,-0.440015703202765,-0.000331619890677606,0.314229046561685,0.541967536960406,-0.736184444932386,4.63169339494428,0.146779016036967,2021,"P4",4,"2021-P4"
"Carvana Auto Receivables Trust 2022-P1",37.286796219881,0,0.0848621361719634,34.0995577496657,7.26627584078988,0.0462820117247763,0.077477306940874,4.0277306940874,71.1460154241645,703.91417351315,-0.000105705627402867,0.15919217855827,0.0360750629287453,-0.189934364791487,-0.0656523402189553,83.5367563931509,0.17325394990373,-0.416237852559964,-0.000360579614601688,0.330876034896721,0.60730193293475,-0.779295792966156,4.53470437017995,0.143958868894602,2022,"P1",1,"2022-P1"
"Carvana Auto Receivables Trust 2022-P2",41.0744261166855,0,0.0875434655287818,36.1780455153949,8.49230254350736,0.0669344042838019,0.0931422724991636,5.59422724991636,71.0504349280696,701.457852631579,-0.000112579264457959,0.166400042167822,0.0345442253547315,-0.185860768734909,-0.0693528930642172,89.7837857567714,0.147086872486638,-0.383519064045894,-0.000342914165159212,0.3331435728769,0.532357094566012,-0.729628052206062,4.46637671462027,0.426564068250251,2022,"P2",2,"2022-P2"
"Carvana Auto Receivables Trust 2022-P3",47.9626043741826,0,0.0851746790838158,34.1681349106469,7.32443996979612,0.0503397936068462,0.10567717916457,6.84771791645697,71.4641419224962,701.128107559614,-8.25658952935467e-05,0.142915222759324,0.0186368643704102,-0.13651690140935,-0.0652860521898073,93.8293821005967,0.10789492979753,-0.328473636381263,-0.000314692223343085,0.32568122841454,0.480071915713705,-0.692872221779532,4.47911424257675,1.11977856064419,2022,"P3",3,"2022-P3"
"Carvana Auto Receivables Trust 2024-P2",73.1258691019777,0.939230391813275,0.0776340110776134,27.9464348313819,6.20486573652107,0.343546238519246,0.141861089226887,10.4661089226887,71.569706315273,699.352732936845,-0.000104337879750202,0.150356454540178,0.0330446710304154,-0.181781932629223,-0.0807881020080666,129.751153561408,0.100106435969546,-0.316396011304736,-0.000308600289388168,0.35710847049542,0.330193253892244,-0.574624445957744,3.47655428611481,8.47410107240485,2024,"P2",2,"2024-P2"
"Carvana Auto Receivables Trust 2024-P3",76.1212977766435,2.49352844841249,0.0780292137799852,28.030222973687,6.73148050301173,0.195498256366903,0.141752668392414,10.4552668392414,71.6102805219504,699.09172008547,-0.000110682834132176,0.155212519269351,0.0370301308591934,-0.192432146116997,-0.0809714522176463,132.827287283938,0.0946625857454076,-0.307672855067534,-0.000308800580719042,0.357054544522884,0.3345888112831,-0.578436523123411,3.11691056051561,8.07227006180992,2024,"P3",3,"2024-P3"
"Carvana Auto Receivables Trust 2024-P4",80.1822551559356,7.38111048679573,0.0774343382728666,27.1180378129791,6.06029637199796,0.194174757281553,0.135521014966542,9.83210149665424,71.7889870766716,700.133436612445,-9.71995820311536e-05,0.145223544632196,0.0284507185145753,-0.16867340784657,-0.0782245355078642,135.069526395735,0.0818399727156628,-0.28607686504795,-0.000274717432885464,0.327215272983499,0.248003319714915,-0.497999316982378,3.38151912959085,6.50763651223374,2024,"P4",4,"2024-P4"
